TYPE_OF_MEASUREMENT_CODE,TYPE_OF_MEASUREMENT_CODE,CODE,MEASURE_TYPE_CODE,NAME_EN
LN,LN,CF,CF,Cleithrum-fork length
LN,LN,CK,CKL,Cleithrum-keel length
LN,LN,CL,CL,Carapace length
LN,LN,DF,LDF,Dorsal fork length
LN,LN,DW,TW,Disc width
LN,LN,EF,EFL,Eye-to-fork length
LN,LN,FD,MLD,First dorsal length (predorsal length)
LN,LN,LJ,FL,Lower-jaw fork length
LN,LN,PA,PAL,Pectoral-anal length
LN,LN,PC,PCL,Precaudal length
LN,LN,PD,PDUL,Pectoral-dorsal length
LN,LN,PF,PCL,Pectoral fork length
LN,LN,SL,,Standard length
LN,LN,TL,TL,Total length
LN,LN,UJ,FL,Upper-jaw fork length
LN,LN,UN,UNCL,Unknown length measurement
WG,LN,WL,,Wing length
WG,WG,GG,GGT,Gilled-and-gutted weight
WG,WG,GO,,Gutted only weight
WG,WG,GT,,"Gilled, gutted and tailed weight"
WG,WG,HD,HDD,Headed-and-gutted weight
WG,WG,HG,,"Headed, gutted and tailed weight"
WG,WG,HT,,Headed and tailed weight
WG,WG,PD,PPD,Headed and caudal peduncle-off weight
WG,WG,PR,,Processed weight
WG,WG,RD,RND,Round weight
WG,WG,UN,UNCL,Unknown length measurement
